StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q11_1,Q11_2,Q11_3,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q17,Q18_1,Q18_2,Q18_3,Q19,Q20,Q21,Q22,Q23,Q24,Q24_3_TEXT,Q25,Q26,Q26_2_TEXT,Q27,IDNUM
2021-11-07 13:33:39,2021-11-07 13:40:22,IP Address,65.78.189.82,100,402,True,2021-11-07 13:40:22,R_3CPfBU53WBR0kCM,,,,,38.6645050048828125,-121.48699951171875,anonymous,EN,4 or more,29,Male,"Some college, no degree",College student,Very,More than 2 years,Mandated,1 or more times a day,Enabled,Enabled,Enabled,Push,Security Key,"Text message,App Code,Security Key",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,Often,Often,Often,Yes,Always,No,,No,,,No,,,One time I lost an app that generated my 2FA codes and I had to contact each website to reset my 2FA.,86825
2021-11-07 13:38:58,2021-11-07 13:41:38,IP Address,172.58.38.194,100,160,True,2021-11-07 13:41:39,R_3mgbm4MRPgVjWIo,,,,,38.5673980712890625,-121.31999969482421875,anonymous,EN,4 or more,22,Male,"Some college, no degree",College student,Very,More than 2 years,Mandated,1 or more times a day,Enabled,Enabled,Enabled,"Text message,Push,App Code","Text message,Push","Text message,Push,App Code",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,Sometimes,Sometimes,Sometimes,Yes,Sometimes,No,,No,,,No,,,"Nothing
",27556
2021-11-07 13:42:02,2021-11-07 13:48:14,IP Address,130.86.76.48,100,372,True,2021-11-07 13:48:14,R_2VgMUTf4WtlL3qi,,,,,38.534698486328125,-121.4441986083984375,anonymous,EN,2,24,Male,"Some college, no degree",College student,Very,More than 2 years,Mandated,1 or more times a day,Enabled,Enabled,Enabled,"Text message,Push,App Code","Text message,Push,App Code","Text message,Push",Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,,,Having to input the code before the countdown timer expires,,,,Always,Never,Never,Yes,Never,Yes,"The push in the Sac state required 2FA kept giving me internal error even though push would come through, ended up using  security code",Yes,Mistake,,Yes,Other,Tried to authenticate the wrong account,"the fact that i have to do it on devices ive done it before. I understand the need but i would rather prefer it tell me that someone logged in on my trusted device rather than force me to confirm my account, especially when i have to juggle my Student Assistant account and my student account",73844
2021-11-07 13:42:38,2021-11-07 13:49:57,IP Address,68.74.140.53,100,438,True,2021-11-07 13:49:57,R_3mgFQjrRHs7OihR,,,,,38.5558929443359375,-121.739105224609375,anonymous,EN,4 or more,28,Male,"Some college, no degree",College student,Very,1 - 2 years,Mandated,1 or more times a day,Enabled,Enabled,Enabled,Push,Push,Push,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,"Some 2FA doesn't allow authentication via push so you need to remember which email (school, work or personal) you've used to authenticate.",The need to log in to email addresses and type codes when the authenticator doesn't allow push.,,,"Some websites make it so you need to 2FA every time you log in. I think having authenticators have specific settings for authentication intervals (7 - 14 days, instead of every time or every 12 hours)",,Often,Rarely,Rarely,Yes,Never,Yes,Phone was left at home so I couldn't push. Logging in to my email to get the code also requires push therefore I had no other option but to retrieve my phone from home.,No,,,No,,,Doesn't have flexibility to when I need to 2FA again.,74454
2021-11-07 13:49:26,2021-11-07 13:54:54,IP Address,67.58.231.49,100,327,True,2021-11-07 13:54:54,R_6tja0UdvYCPRK5X,,,,,38.4062957763671875,-121.4286956787109375,anonymous,EN,4 or more,22,Female,"Some college, no degree",College student,Moderately,More than 2 years,Voluntary,1 or more times a day,Enabled,Enabled,Enabled,Push,Text message,Text message,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,,,,,"I don't always have my phone with me, so it is annoying having to get up and go get something that I can use to authenticate myself when all I want to do is to perform a quick task in the site I am logging into.",,Never,Never,Never,Yes,Never,No,,Yes,Mistake,,Yes,Other,,"It is too time consuming when it comes to websites I use frequently. I understand the security benefits but to have to go through duo enrollment, in MYSacState for example, every time I want perform a task gets annoying. ",42745
2021-11-07 13:58:00,2021-11-07 14:00:45,IP Address,172.58.19.212,100,165,True,2021-11-07 14:00:46,R_31nMgkEYbCGmlcn,,,,,33.78729248046875,-117.923095703125,anonymous,EN,4 or more,22,Male,"Some college, no degree",College student,Very,More than 2 years,Voluntary,1 or more times a day,Enabled,Not enabled,Enabled,"Text message,Push",,Text message,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,,,,,,,Sometimes,Never,Never,Yes,Always,No,,No,,,No,,,Sometimes it might take a bit longer than usual,38039
2021-11-07 14:20:55,2021-11-07 14:25:01,IP Address,130.86.99.178,100,245,True,2021-11-07 14:25:01,R_2qjzvOmDaed7RZs,,,,,38.56390380859375,-121.441802978515625,anonymous,EN,4 or more,22,Prefer not to say,"Some college, no degree",College student,Moderately,1 - 2 years,Mandated,1 or more times a day,Enabled,,Enabled,Push,,Text message,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,,,,,,,Rarely,,Rarely,Yes,Often,No,,Yes,Mistake,,Yes,Other,forgot about it,"Honestly, there is nothing I dislike about it. I enjoy using it.",48054
2021-11-07 14:20:37,2021-11-07 14:25:07,IP Address,67.58.238.121,100,269,True,2021-11-07 14:25:07,R_3HYQZja3CZKZEmV,,,,,38.5823974609375,-121.37359619140625,anonymous,EN,4 or more,31,Male,Associate's degree,College student,Very,1 - 2 years,Mandated,1 or more times a day,Enabled,,Enabled,Push,,App Code,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,,,,,"Oftentimes, my school accounts require me to authenticate 3 to 4 times before I can get into the tech services I'm trying to use.",,Often,,Often,Yes,Always,No,,No,,,No,,,Constant re-authentication within school services.,65435
2021-11-07 14:25:18,2021-11-07 14:33:16,IP Address,76.14.184.172,100,477,True,2021-11-07 14:33:16,R_1Ojhxs6Bw8IPzl2,,,,,38.74249267578125,-121.1947021484375,anonymous,EN,4 or more,23,Male,Associate's degree,College student,Extremely,More than 2 years,Mandated,1 or more times a day,Enabled,,Enabled,Push,,"Text message,App Code",Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,,Sometimes I'll be trying to login to an account and I'll have to get my phone which could be charging or just left in the other room.,,,"Not really, but it can be annoying. Sometimes I'll have to use the 2FA 3 times within a few minutes to do something on the same account which is just really annoying.",,Never,Never,Never,Yes,Often,No,,No,,,No,,,"Can be frustrating to use. For school assignments I'll sometimes have to login with 2FA to get onto the website to get the assignment, then have to login again with 2FA to access the school VPN, and then should I have to go back on the website I'd have to login again with 2FA.",23083
2021-11-07 14:15:54,2021-11-07 14:35:31,IP Address,107.215.184.134,100,1176,True,2021-11-07 14:35:32,R_28S51pjTXA0Wxz3,,,,,37.9185943603515625,-121.313201904296875,anonymous,EN,4 or more,29,Male,"Some college, no degree",College student,Very,More than 2 years,Incentivized,1 or more times a day,Enabled,Enabled,Enabled,Push,Push,"Text message,Push,App Code",Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,"While trying to do a task that requires access to an application or website, it disrupts the pace. It ruins the immersion of the moment. It adds more stress if undergoing a stressful task. It can become annoying and frustrating at certain times.",,,,"There are too many steps involved. The tedious part is having to go find your phone, unlock it, then copy the security code. This is by far the worst type of 2FA authenticator, where you need to write down a code. The better types are the ones that simply have you push a button to confirm, minimizing the task, or the ones that automatically copy the code from a text message and enter it for you. So far, the only app that I've seen do the second option is Bank of America's app.",,Never,Never,Never,Yes,Always,Yes,"Because it required a specific app that was linked to that website. After I changed phone and transferred all my files, the link was lost on my end but not the website's end. So, it would send a push every time I tried to log in, but nothing would appear on my new phone. I had to go through many tedious steps to deactivate it and then link it back to my new phone. However, this was a mistake on my part; I simply assumed the link would be retained between phones.",No,,,Yes,Did not have 2FA authenticator,,"Too much effort to use. There are still improvements on the quality of life that can be done. However, there have been progress, such as with the push 2FA.",12379
2021-11-07 14:41:39,2021-11-07 14:49:53,IP Address,64.85.243.235,100,493,True,2021-11-07 14:49:53,R_3CZboNHuFCUbA37,,,,,37.954498291015625,-121.97589874267578125,anonymous,EN,4 or more,24,Male,"Some college, no degree",College student,Very,More than 2 years,Voluntary,1 or more times a day,Enabled,,Enabled,Push,,"Text message,App Code",Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,,,,,,,Often,,Sometimes,Yes,Sometimes,No,,No,,,No,,,"For some of my personal accounts, I would prefer if it let me ""clear"" a device for a longer period of time in case I have to log in multiple times in one day.",86946
2021-11-07 14:47:46,2021-11-07 14:54:18,IP Address,99.63.154.16,100,391,True,2021-11-07 14:54:18,R_10DcqpvxKzW4BOp,,,,,38.6645050048828125,-121.48699951171875,anonymous,EN,4 or more,22,Male,Associate's degree,College student,Very,More than 2 years,Voluntary,A few times per week,Enabled,Enabled,Enabled,Phone Call,"Text message,Push","Text message,Push,Security Key",Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,,,Having to input the code before the countdown timer expires,,,,Often,Sometimes,Rarely,Yes,Always,No,,Yes,Other,Unknown request to login to one of my accounts from location I did not know or unknown device.,No,,,"Some websites/apps should have a feature to remember the login for a certain amount of time until having to 2FA again. I sometimes find it quite annoying to always have to 2FA when I get automatically signed out when stepping away for a few minutes. However, I never allow the browser to remember my passwords and always sign out...which might solve that problem.",46296
2021-11-07 15:11:29,2021-11-07 15:16:52,IP Address,107.218.22.74,100,322,True,2021-11-07 15:16:52,R_3iIOjLJslnhwjfU,,,,,38.6157073974609375,-121.5052947998046875,anonymous,EN,4 or more,23,Female,Associate's degree,College student,Very,More than 2 years,Incentivized,1 or more times a day,Enabled,,Enabled,App Code,Text message,Text message,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,,,Having to input the code before the countdown timer expires,,,,Often,Sometimes,Often,No,,No,,No,,,Yes,Did not have 2FA authenticator,,'- Having to do it again on the personal device,17166
2021-11-07 15:50:00,2021-11-07 15:54:56,IP Address,174.50.157.234,100,295,True,2021-11-07 15:54:57,R_2xDXK8JjloJLUF3,,,,,38.6645050048828125,-121.48699951171875,anonymous,EN,4 or more,21,Male,High school graduate,College student,Moderately,More than 2 years,Incentivized,A few times per week,Enabled,Not enabled,Enabled,Push,,App Code,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,Rarely,Rarely,Rarely,Yes,Sometimes,Yes,"The Time to input the code was over by the time the authenticator app opened and displayed code
",No,,,No,,,"It's fairly simple only the time to launch apps is an issue
",89864
2021-11-07 15:57:00,2021-11-07 16:04:00,IP Address,98.36.118.182,100,420,True,2021-11-07 16:04:01,R_qKliiP7aN6a3qkF,,,,,38.481903076171875,-121.40240478515625,anonymous,EN,4 or more,23,Male,Associate's degree,College student,Extremely,More than 2 years,Incentivized,A few times per week,Enabled,Enabled,Enabled,Push,"Push,App Code","Text message,Push,App Code,Security Key",Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,,,Having to input the code before the countdown timer expires,,,,Sometimes,Always,Sometimes,Yes,Often,Yes,The phone app was broken.,Yes,"Mistake,Other",Wrong login account,Yes,Other,Forgot,It's bonded to another device.,11674
2021-11-07 17:11:31,2021-11-07 17:15:29,IP Address,89.45.90.59,100,237,True,2021-11-07 17:15:29,R_1CIKeDZaDRIGlPT,,,,,34.048492431640625,-118.252899169921875,anonymous,EN,4 or more,24,Male,Associate's degree,College student,Extremely,More than 2 years,Voluntary,1 or more times a day,Enabled,,Enabled,Push,,"Text message,Push,App Code",Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,,,Having to input the code before the countdown timer expires,,,,Never,,Never,Yes,Never,No,,Yes,Mistake,,No,,,There is little I dislike about 2FA,20692
2021-11-07 17:52:18,2021-11-07 17:58:40,IP Address,73.90.90.93,100,382,True,2021-11-07 17:58:41,R_yqKvSOxc9EJwZH3,,,,,38.76800537109375,-121.33489990234375,anonymous,EN,2,22,Male,"Some college, no degree",College student,Moderately,1 - 2 years,Mandated,1 or more times a day,Enabled,,Enabled,"Text message,Push",,Text message,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,,,,,,,Rarely,Rarely,Rarely,Yes,Rarely,No,,No,,,Yes,Other,I realized I didn't need to log in.,If I lose my phone then I won't be able to log in.,42059
2021-11-07 17:46:42,2021-11-07 18:02:45,IP Address,130.86.76.220,100,962,True,2021-11-07 18:02:46,R_1LkxrbGqeRWLBo5,,,,,38.534698486328125,-121.4441986083984375,anonymous,EN,1,24,Male,Associate's degree,College student,Moderately,1 - 2 years,Mandated,1 or more times a day,Enabled,,,"Text message,Push,Phone Call",,,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Yes,Sometimes,No,,No,,,Yes,Other,timed out before I could approve sign in,There is nothing really I dislike about it.,58208
2021-11-07 19:48:48,2021-11-07 19:53:25,IP Address,174.50.153.170,100,276,True,2021-11-07 19:53:25,R_2PvY0Gsl9fs3TRi,,,,,38.6645050048828125,-121.48699951171875,anonymous,EN,4 or more,30,Male,"Some college, no degree",College student,Extremely,More than 2 years,Voluntary,1 or more times a day,Enabled,Enabled,Enabled,Text message,Text message,Text message,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,Often,Often,Often,No,,No,,No,,,No,,,"Nothing. ",54230
2021-11-07 19:50:39,2021-11-07 19:54:53,IP Address,98.36.50.183,100,253,True,2021-11-07 19:54:53,R_1rInztriLdrXotD,,,,,38.481903076171875,-121.40240478515625,anonymous,EN,2,27,Male,Associate's degree,College student,Very,1 - 2 years,Incentivized,1 or more times a day,Enabled,,,Push,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,Rarely,,,Yes,Often,No,,No,,,No,,,None,90665
2021-11-07 19:52:23,2021-11-07 19:58:37,IP Address,98.36.228.205,100,374,True,2021-11-07 19:58:38,R_2TpIH4e17p63aeT,,,,,38.56390380859375,-121.441802978515625,anonymous,EN,1,27,Male,Associate's degree,College student,Moderately,More than 2 years,Mandated,1 or more times a day,Enabled,,Not enabled,Text message,Text message,Text message,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,,,,,,,Rarely,Rarely,Never,Yes,Never,Yes,"it kinks to my phone, and sometimes the phone is run out of battery.",Yes,Mistake,,No,,,sometimes It takes too long to receive the notification.,56624
2021-11-07 21:36:05,2021-11-07 22:15:58,IP Address,173.239.198.156,100,2393,True,2021-11-07 22:15:59,R_2dL506N2HlFlZb9,,,,,37.33880615234375,-121.8916015625,anonymous,EN,4 or more,28,Male,Bachelor's degree,College student,Very,More than 2 years,Voluntary,1 or more times a day,Enabled,Enabled,Enabled,Push,Push,"Text message,Push,App Code",Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,,,,,,,Sometimes,Never,Sometimes,Yes,Often,No,,Yes,Other,"Testing functionality, and messing around. xD",Yes,Other,"It was a Blizzard.net authentication request and wanted to see what would happen. ","I am too lazy to use it. Otherwise, I think that verify process makes online presence more secure. ",13548
2021-11-07 22:39:27,2021-11-07 22:42:40,IP Address,73.192.191.30,100,193,True,2021-11-07 22:42:40,R_6KDjE1F5MAsQzYZ,,,,,38.6840972900390625,-121.067596435546875,anonymous,EN,1,37,Female,Associate's degree,College student,Moderately,1 - 2 years,Mandated,1 or more times a day,Enabled,Not enabled,Enabled,"Text message,Push,Phone Call",,Text message,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,Always,Always,Always,Yes,Always,No,,Yes,Mistake,,Yes,Other,couldn't find my phone in time,nothing,46504
